Date,Open,High,Low,Close,Volume,Price,Return,SMA_10,SMA_15,SMA_20,SMA_30,SMA_50,SMA_100,SMA_150,SMA_200,EMA_12,EMA_26,RSI_14,Vol_20,Signal,Position,Trade,Gross_Strategy_Return,Transaction_Cost,Strategy_Return,Portfolio_Value,Buy_Hold_Value,Running_Max,Drawdown
2024-03-08,501.6546234977977,504.34065341716547,497.44057585035506,498.0147705078125,86532500,498.0147705078125,-0.006002257348717732,495.9389373779297,493.4017639160156,491.5497329711914,487.27341918945314,477.88051147460936,455.6036981201172,445.4253861490885,439.9438938903809,494.86900562918765,488.83998976454797,65.1526236321467,0.12522369797621863,0,0,0,-0.0,0.0,-0.0,11525.64878655835,13472.537615322733,11537.185972530879,-0.0009999999999998899
2024-03-11,496.8080468189585,498.17054528765857,494.88106560592894,497.58660888671875,62557200,497.58660888671875,-0.0008597367918569132,496.4537719726562,494.16541544596356,492.0402328491211,488.0477752685547,478.55728637695313,456.35308227539065,445.86552978515624,440.4394204711914,495.2870984380386,489.48788747730134,69.1153838532619,0.12432829327526504,0,0,0,-0.0,0.0,-0.0,11525.64878655835,13460.954779055162,11537.185972530879,-0.0009999999999998899
2024-03-12,499.6985003866654,503.5232377514132,497.17784111143084,502.9393310546875,73114400,502.9393310546875,0.010757367807676221,497.4123962402344,495.46433715820314,492.80907745361327,488.8753356933594,479.3376135253906,457.1561880493164,446.316245320638,440.97614532470703,496.4643649944461,490.48429070525583,72.74002560778406,0.1288494937316665,0,0,0,0.0,0.0,0.0,11525.64878655835,13605.759220655957,11537.185972530879,-0.0009999999999998899
2024-03-13,503.2604525888654,503.43562459877114,500.7106276661075,502.1509704589844,55104100,502.1509704589844,-0.001567506351213166,498.3573852539063,496.68150431315104,493.87426300048827,489.68894348144534,480.129033203125,458.00772552490236,446.7743255615234,441.49179946899415,497.3392273736058,491.348489205532,62.622976254343776,0.11621911636058083,0,0,0,-0.0,0.0,-0.0,11525.64878655835,13584.4321066645,11537.185972530879,-0.0009999999999998899
2024-03-14,503.1241533654222,503.27990140830235,498.1121195690471,501.1582946777344,110171800,501.1582946777344,-0.0019768472822877525,499.02598266601564,497.1648701985677,494.6713272094727,490.72931213378905,480.95237548828123,458.88597595214844,447.2451055908203,441.9766523742676,497.9267761896256,492.0751414627322,60.37403542789385,0.11413367784714286,0,0,0,-0.0,0.0,-0.0,11525.64878655835,13557.577758973019,11537.185972530879,-0.0009999999999998899
2024-03-15,498.0880174407595,499.5426370968139,496.0476768950372,497.717041015625,107646300,497.717041015625,-0.006866600231214881,498.8862335205078,497.39610799153644,495.1289352416992,491.4499471028646,481.7820233154297,459.78060424804687,447.69191365559897,442.4435290527344,497.8945092397794,492.49305994813164,57.55525524292565,0.1161653294736613,0,0,0,-0.0,0.0,-0.0,11525.64878655835,13464.483292398541,11537.185972530879,-0.0009999999999998899
2024-03-18,501.78800868482955,503.23282668542583,500.26507469946,500.6750793457031,88893300,500.6750793457031,0.005943212882649318,499.09580993652344,497.9452290852865,495.85609741210936,492.10211588541665,482.7002233886719,460.71188873291015,448.1601165771484,442.9364065551758,498.32228925607535,493.09913545906284,59.900551711047015,0.11523225243615573,0,0,0,0.0,0.0,0.0,11525.64878655835,13544.50558296014,11537.185972530879,-0.0009999999999998899
2024-03-19,499.9819506807113,503.7404554386333,498.9763936514032,503.4573669433594,60755300,503.4573669433594,0.00555707226589397,500.0819061279297,498.61884765625,496.85619049072267,492.905419921875,483.66161254882815,461.6402700805664,448.6310274251302,443.4240939331055,499.11230120796523,493.86641186530704,63.75203864251769,0.11298131687758875,0,0,0,0.0,0.0,0.0,11525.64878655835,13619.773379290455,11537.185972530879,-0.0009999999999998899
2024-03-20,503.51601611982346,508.2507627953458,502.84240721032234,508.11407470703125,69594600,508.11407470703125,0.009249457986768794,501.28355712890624,499.64638061523436,498.0672210693359,493.81755879720055,484.58611389160154,462.67415130615234,449.1665958658854,443.9057145690918,500.4971894385908,494.92179429802735,66.24272096543635,0.1157067437547925,0,0,0,0.0,0.0,0.0,11525.64878655835,13745.748900951514,11537.185972530879,-0.0009999999999998899
2024-03-21,510.9549424076125,511.6578075346775,509.5100647824686,509.793212890625,60256100,509.793212890625,0.003304648044953007,502.1606750488281,500.6677734375,498.86149139404296,494.6520111083984,485.558212890625,463.7732879638672,449.7342858886719,444.3996762084961,501.92734689274994,496.023380860442,63.67996484608041,0.09376174428633885,0,0,0,0.0,0.0,0.0,11525.64878655835,13791.173763183457,11537.185972530879,-0.0009999999999998899
