Date,Open,High,Low,Close,Volume,Price,Return,SMA_10,SMA_15,SMA_20,SMA_30,SMA_50,SMA_100,SMA_150,SMA_200,EMA_12,EMA_26,RSI_14,Vol_20,Signal,Position,Trade,Gross_Strategy_Return,Transaction_Cost,Strategy_Return,Portfolio_Value,Buy_Hold_Value,Running_Max,Drawdown
2024-01-26,192.27255880614135,192.75751105858055,189.966513589549,190.4415740966797,44594000,190.4415740966797,-0.009012815253008677,188.30182495117188,186.4787618001302,186.27240524291992,188.7039810180664,188.87665557861328,181.61197647094727,182.5326007080078,179.7514598083496,188.97840233832162,188.03281972540913,72.23101101777505,0.22896475164819582,0,0,0,-0.0,0.0,-0.0,13065.007399216986,16107.267447450444,13078.085484701687,-0.0010000000000000009
2024-01-29,190.03581744325376,190.22386634852867,187.63080907007364,189.75869750976562,47145600,189.75869750976562,-0.003585753741813691,188.8768508911133,187.17486470540365,186.18085632324218,188.49844919840496,188.96157348632812,181.63453811645508,182.5692010498047,179.91118453979493,189.098447749313,188.16066252425037,64.28910624398819,0.2291141545255705,0,0,0,-0.0,0.0,-0.0,13065.007399216986,16049.510752930353,13078.085484701687,-0.0010000000000000009
2024-01-30,188.97678965234772,189.82794788197626,185.54246639690817,186.10659790039062,55859400,186.10659790039062,-0.01924601958857275,189.31331329345704,187.33849690755207,185.95866317749022,188.16623280843098,188.96216644287108,181.68769226074218,182.59073221842448,180.02573860168457,188.6381631571711,188.00850958914964,55.83262479433765,0.23822140395518188,0,0,0,-0.0,0.0,-0.0,13065.007399216986,15740.621554592446,13078.085484701687,-0.0010000000000000009
2024-01-31,185.11689921687164,185.17629499887522,182.45456974695213,182.50404357910156,55467800,182.50404357910156,-0.019357477714020965,189.4835433959961,187.2896708170573,185.89729995727538,187.73174540201822,188.85705780029298,181.75770095825195,182.5698866780599,180.1240048980713,187.69445245285272,187.60077136618312,46.739531526876405,0.21218320991260317,0,0,0,-0.0,0.0,-0.0,13065.007399216986,15435.922823644585,13078.085484701687,-0.0010000000000000009
2024-02-01,182.0982797244824,185.02783750412453,181.93002942176474,184.9387664794922,64885400,184.9387664794922,0.013340651815943794,189.30836334228516,187.33387959798176,186.02645874023438,187.4338399251302,188.80103942871094,181.84592880249022,182.55744171142578,180.23434646606447,187.2705007646434,187.40358581902083,52.16646888768257,0.21561414254613728,0,0,0,0.0,0.0,0.0,13065.007399216986,15641.848095492607,13078.085484701687,-0.0010000000000000009
2024-02-02,178.01074479617154,185.40394215196616,177.40701599262258,183.9391632080078,102551700,183.9391632080078,-0.00540504995525215,188.74323577880858,187.35103454589844,186.22143478393554,187.06797485351564,188.69019134521486,181.91249725341797,182.53609537760417,180.33357841491699,186.75798729439177,187.14696192190877,49.883303568031955,0.21106721270398568,0,0,0,-0.0,0.0,-0.0,13065.007399216986,15557.303125144004,13078.085484701687,-0.0010000000000000009
2024-02-05,186.21550453356022,187.3042007769885,183.92925752426459,185.75033569335938,69668800,185.75033569335938,0.009846584347583454,188.12862243652344,187.4671610514323,186.5430938720703,186.83209177652995,188.63160034179688,182.02742294311523,182.49800069173176,180.43614906311035,186.60296397115602,187.0435081272014,56.85743821069448,0.21229591710585538,0,0,0,0.0,0.0,0.0,13065.007399216986,15710.489422586657,13078.085484701687,-0.0010000000000000009
2024-02-06,184.93878338477884,187.36359047791993,184.8497123520045,187.35369873046875,43490800,187.35369873046875,0.00863181770910093,187.54667053222656,187.84127604166667,186.72817306518556,186.65460306803385,188.59181396484374,182.17904022216797,182.48053181966145,180.55156661987306,186.7184616264349,187.0664852089249,60.96029331660233,0.19725202906454042,0,0,0,0.0,0.0,0.0,13065.007399216986,15846.099503403184,13078.085484701687,-0.0010000000000000009
2024-02-07,188.67990426473503,189.0856924097343,186.67077723703076,187.46255493164062,53439000,187.46255493164062,0.0005810197605358169,187.04290313720702,188.28533020019532,186.9394790649414,186.51637217203776,188.58072937011718,182.31662353515625,182.4712245686849,180.67556198120118,186.83293751954346,187.09582370690381,51.601000732258555,0.19687229586081048,0,0,0,0.0,0.0,0.0,13065.007399216986,15855.306400342077,13078.085484701687,-0.0010000000000000009
2024-02-08,187.44273393335544,187.5911856262693,185.42371540021887,186.3837432861328,40962000,186.3837432861328,-0.005754811385672243,186.46391754150392,188.26487528483074,187.0448844909668,186.3603266398112,188.55163146972657,182.45063354492189,182.45156667073567,180.79263542175292,186.76383071440338,187.04307700906892,42.80638434501862,0.19761719888604326,0,0,0,-0.0,0.0,-0.0,13065.007399216986,15764.062102546066,13078.085484701687,-0.0010000000000000009
