Date,Open,High,Low,Close,Volume,Price,Return,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,Vol_20,Signal,Position,Trade,Gross_Strategy_Return,Transaction_Cost,Strategy_Return,Portfolio_Value,Buy_Hold_Value,Running_Max,Drawdown
2025-09-10,582.3138007742962,582.3437567038031,577.1364785105435,579.28125,49308000,579.28125,0.00032726103383495797,572.4015930175781,565.1145349121093,573.9185052741399,570.3382094557398,65.99645008292839,0.11207473164336927,1,1,0,0.00032726103383495797,0.0,0.00032726103383495797,18047.38536714898,27772.58650161228,18047.38536714898,0.0
2025-09-11,581.814979655352,583.4509873113628,580.1989426175462,582.6529541015625,44745800,582.6529541015625,0.005820495832659089,572.588134765625,565.8545227050781,575.262266632205,571.2504127628378,72.11819480698614,0.11391551199281329,1,1,0,0.005820495832659089,0.0,0.005820495832659089,18152.430098468867,27934.236725607083,18152.430098468867,0.0
2025-09-12,583.6105864506874,586.423703827438,582.6728806584372,585.2266235351562,50745900,585.2266235351562,0.004417156757683172,572.9258026123047,566.5699694824219,576.7952446172744,572.2856876348615,67.9539716914536,0.1147260043228658,1,1,0,0.004417156757683172,0.0,0.004417156757683172,18232.61222774669,28057.62662813032,18232.61222774669,0.0
2025-09-15,587.0023008473079,590.3440916306826,586.8526429792626,590.234375,44360300,590.234375,0.008556944034079583,573.6410491943359,567.2774365234375,578.8628031376937,573.6152200322791,74.11922715006405,0.11643634301458565,1,1,0,0.008556944034079583,0.0,0.008556944034079583,18388.627670174592,28297.714168916333,18388.627670174592,0.0
2025-09-16,591.1621557406676,591.4115449554772,589.0473400699651,589.7356567382812,36942100,589.7356567382812,-0.0008449495367306437,574.3428344726562,568.0585229492187,580.5355498454765,574.8093264549459,71.85227531269169,0.11653108281237613,1,1,0,-0.0008449495367306437,0.0,-0.0008449495367306437,18373.090207743568,28273.80402843877,18388.627670174592,-0.0008449495367305326
2025-09-17,589.6558208790498,590.3042571762861,582.942282862292,588.5585327148438,69384800,588.5585327148438,-0.001996019759001766,575.3763031005859,568.8098815917969,581.7698549023022,575.8277861779013,69.2919353062885,0.10355838674328564,1,1,0,-0.001996019759001766,0.0,-0.001996019759001766,18336.41715665499,28217.368956935865,18388.627670174592,-0.002839282759761641
2025-09-18,593.4564461610391,596.6785957944177,591.5112592506033,593.865478515625,61069300,593.865478515625,0.009016853049945484,576.8437042236328,569.5893713378906,583.6307200735827,577.1639115362512,70.48517723956236,0.10231879982543893,1,1,0,0.009016853049945484,0.0,0.009016853049945484,18501.753935619046,28471.80082627665,18501.753935619046,0.0
2025-09-19,595.8705968632576,598.583922026821,594.3941714550525,597.8856201171875,58196100,597.8856201171875,0.006769448211758178,578.6427947998047,570.465224609375,585.8237816187526,578.6988529126169,84.57137679941664,0.09966571748690195,1,1,0,0.006769448211758178,0.0,0.006769448211758178,18627.000600712912,28664.539207465623,18627.000600712912,0.0
2025-09-22,596.9708269829692,602.0942306490323,596.9508332125652,601.4251098632812,57154800,601.4251098632812,0.005920011498854905,580.1854217529296,571.4368078613281,588.2239859640647,580.3822793534068,95.8660676376798,0.08927500441622775,1,1,0,0.005920011498854905,0.0,0.005920011498854905,18737.27265845831,28834.233609183197,18737.27265845831,0.0
2025-09-23,601.5949151722127,601.7946700200599,596.2118359493293,597.4302978515625,64635500,597.4302978515625,-0.006642243475046938,581.6106079101562,572.2883923339843,589.6403416390643,581.6450955384555,85.85672835991755,0.09327236778658253,1,1,0,-0.006642243475046938,0.0,-0.006642243475046938,18612.81513140249,28642.70960913462,18737.27265845831,-0.006642243475046938
2025-09-24,598.8085103543956,599.1281059107118,592.5964822123717,595.3329467773438,49850300,595.3329467773438,-0.0035106205389333622,582.8167053222656,573.0878552246094,590.5161270449535,582.6590104450398,79.03053869030457,0.09541300632240152,1,1,0,-0.0035106205389333622,0.0,-0.0035106205389333622,18547.47260031482,28542.15592449009,18737.27265845831,-0.010129545617612146
2025-09-25,591.4379907146171,594.354216296693,587.7427395490681,592.7662963867188,70920200,592.7662963867188,-0.004311285650355434,583.8505767822265,573.8246130371094,590.8623069436866,583.4076982925716,73.35266956447842,0.09808150170491843,1,1,0,-0.004311285650355434,0.0,-0.004311285650355434,18467.509147842724,28419.10253722263,18737.27265845831,-0.014397159903301704
2025-09-26,593.585214360816,595.5327174506845,590.2994696097071,595.203125,54337400,595.203125,0.00411094326404049,584.8272277832032,574.5201281738281,591.5301251061964,584.2814336042329,73.09856693463824,0.09707547737165022,1,1,0,0.00411094326404049,0.0,0.00411094326404049,18543.428030177653,28535.9318553681,18737.27265845831,-0.010345402546787064
2025-09-29,598.3391106571707,601.275330198043,596.6412858554952,597.9595947265625,48332900,597.9595947265625,0.0046311412201716085,586.2748870849609,575.2815454101562,592.5192742785604,585.2946307244055,73.86091201138663,0.08385261106510473,1,1,0,0.0046311412201716085,0.0,0.0046311412201716085,18629.305264091494,28668.085785639505,18737.27265845831,-0.005762172346789107
2025-09-30,597.659966987958,599.9370624727763,595.3329480316206,599.5974731445312,46533800,599.5974731445312,0.0027391121948929786,588.042855834961,576.0176623535157,593.6082279502482,586.3541005333037,74.78462622132011,0.07335264047508641,1,1,0,0.0027391121948929786,0.0,0.0027391121948929786,18680.33302132275,28746.61088901919,18737.27265845831,-0.0030388433884404042
2025-10-01,596.4015613877941,603.0130380816322,595.5726732971928,602.4737548828125,46899600,602.4737548828125,0.0047970211135095475,589.7326812744141,576.8695617675781,594.9721551706427,587.5481490036377,74.47610003165559,0.07146562808625041,1,1,0,0.0047970211135095475,0.0,0.0047970211135095475,18769.942973233425,28884.508988395657,18769.942973233425,0.0
2025-10-02,606.2788672228089,606.378714165839,602.1541765957764,604.9505615234375,43765400,604.9505615234375,0.004111061470398525,591.2889801025391,577.7199230957032,596.5072946095343,588.837216597697,74.41489385814208,0.06788791486000718,1,1,0,0.004111061470398525,0.0,0.004111061470398525,18847.10736259226,29003.25498038923,18847.10736259226,0.0
2025-10-03,605.7296019230981,606.5485541284623,600.6161947999731,602.4038696289062,46482100,602.4038696289062,-0.004209752096300146,592.676547241211,578.4954089355468,597.4144599971299,589.842153859268,66.04111791028205,0.07206152992660528,1,1,0,-0.004209752096300146,0.0,-0.004209752096300146,18767.765712863395,28881.15846693601,18847.10736259226,-0.004209752096300146
2025-10-06,607.6670775886568,608.5758798079479,605.1902273252953,606.9280395507812,41962100,606.9280395507812,0.007510193991054459,594.1501647949219,579.3342443847656,598.8780876207686,591.1077750216024,70.48778500917906,0.07385951693054889,1,1,0,0.007510193991054459,0.0,0.007510193991054459,18908.71527414566,29098.061569709083,18908.71527414566,0.0
2025-10-07,608.2363844032766,608.9254990082667,602.2541015785323,603.732177734375,58209500,603.732177734375,-0.0052656354759481605,595.3821868896484,580.0738500976563,599.6248707151695,592.0429159632893,67.25203987736447,0.07880728561279797,1,1,0,-0.0052656354759481605,0.0,-0.0052656354759481605,18809.148872193517,28944.8417844263,18908.71527414566,-0.0052656354759480495
2025-10-08,604.6309888518371,610.9628579603992,604.481218431623,610.6532592773438,50629800,610.6532592773438,0.011463827502024904,596.9507873535156,580.96943359375,601.321545878581,593.4214599124784,68.41148395820363,0.08514911507831253,1,1,0,0.011463827502024904,0.0,0.011463827502024904,19024.773710324247,29276.660457716367,19024.773710324247,0.0
2025-10-09,610.6931491958702,610.8229867928995,606.6982962574127,609.9141845703125,45551000,609.9141845703125,-0.0012103017478460876,598.3138488769531,581.8350720214844,602.6434902926935,594.6431432204661,64.21498619442065,0.0853387124530859,1,1,0,-0.0012103017478460876,0.0,-0.0012103017478460876,19001.747993450266,29241.226864393295,19024.773710324247,-0.0012103017478460876
2025-10-10,610.6132994204178,612.3909772904724,588.2920219287263,588.741455078125,97614800,588.741455078125,-0.034714276250361054,598.4895904541015,582.3373095703125,600.5047156442984,594.2059811358482,39.42018183465855,0.1561467131059345,1,1,0,-0.034714276250361054,0.0,-0.034714276250361054,18342.11606436589,28226.138837123268,19024.773710324247,-0.03588256324898598
2025-10-13,598.9083327066105,602.1741444216893,596.4614731416003,601.2353515625,65872600,601.2353515625,0.02122136359960769,599.0396392822265,583.3114819335938,600.6171211701756,594.7266752415261,52.77977437909662,0.17076604411739932,1,1,0,0.02122136359960769,0.0,0.02122136359960769,18731.360778554004,28825.135992398868,19024.773710324247,-0.015422676570970961
2025-10-14,594.5439886761187,601.9144974152143,589.3706613014698,597.2305297851562,69203200,597.2305297851562,-0.006660988524603506,599.4143829345703,584.0016564941407,600.0961071109418,594.9121459484617,51.34868757819264,0.17282561795974405,1,1,0,-0.006660988524603506,0.0,-0.006660988524603506,18606.591399357847,28633.132092333366,19024.773710324247,-0.02198093482391661
2025-10-15,603.232804101606,605.9193452011472,595.1631839173533,601.445068359375,62805500,601.445068359375,0.007056803636168452,600.0587097167969,584.8525354003906,600.3036396107008,595.3960661270479,56.02716511769658,0.17394440531105992,1,1,0,0.007056803636168452,0.0,0.007056803636168452,18737.894461201533,28835.190482997434,19024.773710324247,-0.015079246328540186
2025-10-16,604.3313635356964,607.5272581453062,594.7337437778706,599.2179565429688,70982000,599.2179565429688,-0.003702934704380212,600.3263336181641,585.5182153320312,600.1366114464342,595.6791691208198,52.796333847716944,0.17215663961971508,1,1,0,-0.003702934704380212,0.0,-0.003702934704380212,18668.509261514137,28728.415655450528,19024.773710324247,-0.018726343568374437
2025-10-17,597.1806072651552,604.7308770883808,595.6026232431807,603.1528930664062,72024900,603.1528930664062,0.006566786726718066,600.589697265625,586.2242895507812,600.6006547725838,596.2327783019743,53.558716926271025,0.17206030928821248,1,1,0,0.006566786726718066,0.0,0.006566786726718066,18791.10138034026,28917.069034056378,19024.773710324247,-0.012282528746041188
2025-10-20,606.3587502275053,612.0114401498232,606.2888329883251,610.7530517578125,45761700,610.7530517578125,0.01260071663217488,601.0560943603516,586.97642578125,602.1625620010805,597.3083541135179,57.06691907182334,0.1764327056640426,1,1,0,0.01260071663217488,0.0,0.01260071663217488,19027.8827240404,29281.444826787563,19027.8827240404,0.0
2025-10-21,610.8529979566828,611.9315643975107,608.5359758597962,610.5933227539062,44538200,610.5933227539062,-0.0002615279669033743,601.7142456054687,587.7592846679687,603.4596021168999,598.2924258646577,55.32698888640621,0.17428976704497937,1,1,0,-0.0002615279669033743,0.0,-0.0002615279669033743,19022.906400557105,29273.78691005402,19027.8827240404,-0.0002615279669033743
2025-10-22,610.034035159382,610.6232418416384,598.9682752728291,604.7108764648438,61478800,604.7108764648438,-0.009633983978945992,602.1831420898437,588.2808459472657,603.6521058627374,598.7678666498567,49.84947667559253,0.17778099333862196,1,1,0,-0.009633983978945992,0.0,-0.009633983978945992,18839.640025061148,28991.76371595948,19027.8827240404,-0.00989299238960617
2025-10-23,604.1316243630486,610.5833341066889,603.7421725102494,609.7943725585938,42844300,609.7943725585938,0.008406490261045452,603.0345458984375,588.898291015625,604.5970699697922,599.5846448653188,54.49795395583398,0.178621294955893,1,1,0,0.008406490261045452,0.0,0.008406490261045452,18998.01527545343,29235.482695288225,19027.8827240404,-0.001569667472736458
2025-10-24,615.1973511503762,617.6242169779957,614.3384724044602,616.305908203125,47632500,616.305908203125,0.010678248172756977,604.0896850585938,589.6549438476562,606.3984296979972,600.8232569644156,55.57268276689012,0.18140481945623027,1,1,0,0.010678248172756977,0.0,0.010678248172756977,19200.880797354548,29547.666434958857,19200.880797354548,0.0
