Date,Open,High,Low,Close,Volume,Price,Return,SMA_10,SMA_15,SMA_20,SMA_30,SMA_50,SMA_100,SMA_150,SMA_200,EMA_12,EMA_26,RSI_14,Vol_20,BB_Mid,BB_Std,BB_Upper,BB_Lower,Signal,Position,Trade,Gross_Strategy_Return,Transaction_Cost,Strategy_Return,Portfolio_Value,Buy_Hold_Value,Running_Max,Drawdown
2023-05-05,313.3140214873927,318.5183856176378,311.0906009279849,317.6624755859375,51806100,317.6624755859375,0.021254393414469996,312.717822265625,312.7164998372396,312.47874450683594,311.5959401448568,304.2915966796875,292.2011878967285,285.4316356404622,288.77910972595214,313.2614019801056,310.8150806784748,55.74805146320761,0.17548266054538658,312.47874450683594,3.305344015222627,319.0894325372812,305.8680564763907,0,0,0,0.0,0.0,0.0,10027.756509687983,10348.824145934725,11359.298627462791,-0.1172204518468779
2023-05-08,317.2000349928511,318.7938023970426,316.1178379827523,318.449462890625,36465800,318.449462890625,0.0024774323855403235,313.4792907714844,313.0345987955729,312.7650344848633,312.0156982421875,304.92696166992187,292.58716049194334,285.8086343383789,288.8679837799072,314.05956519710855,311.3805904719674,56.70649609300635,0.17549797169994724,312.7650344848633,3.565410848685427,319.8958561822341,305.63421278749246,0,0,0,0.0,0.0,0.0,10027.756509687983,10374.462658026125,11359.298627462791,-0.1172204518468779
2023-05-09,316.7868659803596,317.6526237097807,316.11788228889895,316.4327087402344,31768800,316.4327087402344,-0.006333043026934826,314.62543029785155,313.21693522135416,313.0508331298828,312.4380828857422,305.4809332275391,292.92288131713866,286.1312262980143,288.97313621520993,314.4246642037433,311.754821454802,53.86443862212978,0.17545105723884868,313.0508331298828,3.621235800059158,320.2933047300011,305.80836152976445,0,0,0,-0.0,0.0,-0.0,10027.756509687983,10308.760739631518,11359.298627462791,-0.1172204518468779
2023-05-10,318.87256247963984,320.7319781995908,316.3933715432104,319.8760681152344,60446600,319.8760681152344,0.010881806083538281,315.9309478759766,313.63866373697914,313.6460388183594,313.0290252685547,306.1112371826172,293.3140058898926,286.4205903116862,289.1039179229736,315.2633417285881,312.3563952815007,61.364972931161674,0.17479657790537728,313.6460388183594,3.71948675252483,321.08501232340905,306.2070653133097,0,0,0,0.0,0.0,0.0,10027.756509687983,10420.938674961779,11359.298627462791,-0.1172204518468779
2023-05-11,320.4269182586915,321.4599067146341,318.87248169768554,320.9188232421875,44278500,320.9188232421875,0.0032598722783396816,316.5064727783203,314.28929036458334,313.991845703125,313.47108459472656,306.80875915527344,293.8098292541504,286.71788665771487,289.26876960754396,316.1334158076034,312.9906492045145,62.07514478862501,0.162107410823881,313.991845703125,4.060280005235793,322.1124057135966,305.87128569265343,0,0,0,0.0,0.0,0.0,10027.756509687983,10454.909604062566,11359.298627462791,-0.1172204518468779
2023-05-12,321.4501292703223,321.8731904664601,317.7116625879941,319.767822265625,48432800,319.767822265625,-0.003586579823938507,316.7494750976563,314.84154052734374,314.309619140625,313.7777069091797,307.4359149169922,294.3200129699707,287.02201263427736,289.36702323913573,316.69255526268364,313.492662023856,61.28806353936735,0.16264126670796097,314.309619140625,4.256500264926053,322.8226196704771,305.7966186107729,0,0,0,-0.0,0.0,-0.0,10027.756509687983,10417.412236215532,11359.298627462791,-0.1172204518468779
2023-05-15,320.24005281717564,321.73543344270627,318.7151290644636,321.49932861328125,33375600,321.49932861328125,0.00541488613641028,317.2020294189453,315.55251057942706,314.7006866455078,313.969878133138,307.9784521484375,294.88528091430663,287.4073228963216,289.4592615509033,317.43205885508326,314.0857484378875,73.32055329637112,0.16337085037117718,314.7006866455078,4.544935713490922,323.79055807248966,305.61081521852594,0,0,0,0.0,0.0,0.0,10027.756509687983,10473.821337310686,11359.298627462791,-0.1172204518468779
2023-05-16,320.7811146668355,323.5751317119794,320.74175385676267,321.8633117675781,40019200,321.8633117675781,0.0011321428130715017,317.9674346923828,316.67864379882815,315.1089691162109,314.19976196289065,308.52158813476564,295.4562507629395,287.81263376871743,289.525686416626,318.11379007239015,314.6618642400868,72.15313894936297,0.16330907057851213,315.1089691162109,4.809177747570694,324.7273246113523,305.49061362106954,0,0,0,0.0,0.0,0.0,10027.756509687983,10485.679198863118,11359.298627462791,-0.1172204518468779
2023-05-17,322.92583823591684,326.339660701836,321.7452840546371,325.75921630859375,47486100,325.75921630859375,0.012104220638321506,319.3280487060547,317.9411987304687,315.7194229125977,314.5949239095052,309.2149401855469,296.02777267456054,288.26782786051433,289.61251991271973,319.29000949334454,315.48389031923546,67.95615198273882,0.16751048807591232,315.7194229125977,5.34583144549436,326.4110858035864,305.02776002160897,0,0,0,0.0,0.0,0.0,10027.756509687983,10612.600173428817,11359.298627462791,-0.1172204518468779
2023-05-18,326.15266311219904,332.0260097019731,326.13299772170035,331.8095703125,64213500,331.8095703125,0.018573086196814526,321.4038787841797,319.0509318033854,316.7519302368164,315.29506530761716,310.00022216796873,296.7255131530762,288.7639456176758,289.73420295715334,321.21609577321465,316.6931999483662,71.67708745692795,0.1733312198439128,316.7519302368164,6.3235490835862604,329.39902840398895,304.10483206964386,0,0,0,0.0,0.0,0.0,10027.756509687983,10809.708911222238,11359.298627462791,-0.1172204518468779
